RFID,AssetSN,DataCenter,Description,DeviceModel,Floor,Manufacturer,AssetUnitUsage,Room,SerialNumber,RackNo,Cols,Supplier,Address,MacAddress1,MacAddress2,EquipmentCategory,Weight,InventoryCode,LifeCycle,Power,LastMaintenanceStaff,MaintenanceCycle,Current,NextMaintenanceStaff,Principal,Voltage,LastUpdatedTime,MaintenanceContact,FirstUseTime,NextUpdateTime
0006394327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0006442147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0006442827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0006442883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0006443564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0006443619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0006444065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0006444572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0012354276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
